Employee Title,Location,Pros,Cons,Rating,Company Name
Compliance Analyst,Berlin,"The environment within the team was open and not competitive and people were kind to each other
The manager of the team was also very nice and a great leader overall",The temporary contract and the salary,5.0,Deutsche Bank
Vice President M&A,Frankfurt am Main,"Deutsche Bank in Germany still kind of #1, and involved in all big name deals","Globally lacking behind BB US banks, but keeps up closely and ensures to be lower BB",5.0,Deutsche Bank
Graduate Trainee In Technology/Digital,Frankfurt am Main,The job stands for a very good work-life balance.,Less challenging for career beginners.,4.0,Deutsche Bank
Internship,Frankfurt am Main,Flexible work and 39h/ week,In Corona times difficult to network,4.0,Deutsche Bank
Corporate Treasury Sales,Frankfurt am Main,Trading floor experience and good socials,Monotone work and no good training,4.0,Deutsche Bank
Risk Analyst,Berlin,"Flexible working hours, good work-life balance",There is not many Career Development Opportunities,4.0,Deutsche Bank
Bank Assistant,Hamburg,Helpful for everyone job seeker,i dont know anything about it thank you so much,4.0,Deutsche Bank
Analyst,Frankfurt am Main,"Friendly and helpful environment, good payment","Heavy workload sometimes 100h weeks 
Little to no understanding for workloads balance",4.0,Deutsche Bank
CIB Operation Regional Lead,Frankfurt am Main,"Work Life balance, Pay is okay",Internal promotion is difficult Politics,4.0,Deutsche Bank
Internship,Frankfurt am Main,"Facilities, relaxed working hours, opportunity to look at how other teams work","Responsibility, a lot of admin work",2.0,Deutsche Bank
Cyber Security Analyst,Eschborn,Amazing worklife balance and flexibility,None. There are no cons whatsoever,5.0,Deutsche Bank
Quantitative Risk Methodology Intern,Berlin,"- international team
- great guidance and managers
- interesting problems and steep learning curve","none so far, was great",5.0,Deutsche Bank
Analytics Analyst,Frankfurt am Main,"Stable employment.
Good work life balance",Slow growth and you might need to push harder to get things moving.,4.0,Deutsche Bank
Graduate Trainee,Frankfurt am Main,"nice colleagues, latest IT stack","commute time, quite a bit of red tape",5.0,Deutsche Bank
"Associate, Investment Banking Division",Frankfurt am Main,Good access to core business,Very little mentorship and very vague career prospects,2.0,Deutsche Bank
QA Engineer,Berlin,"Strong russian community
Relocation oppotrunity","Terrible office
Not clear policy for promotion",4.0,Deutsche Bank
Engineering Manager,Frankfurt am Main,"everything - good pay, flex working hours, culture, multi national team","can not name any except usual for large banks like bureaucracy, poor HR processes, no full remote options",5.0,Deutsche Bank
FIC Intern,Frankfurt am Main,The managers are keen to networking and knowledge sharing,The working hours are typical IB hours,5.0,Deutsche Bank
Senior Innovation Manager,Frankfurt am Main,"As an employer it is fine, provides loads of security and stability. Many talented people, also innovative minds. Diversity is respected, I as a young female employee got loads of mentoring and support to build a carreer. Never felt negatively discriminated","Slow moving, you easily get burned out if you are devoted to innovate or establish sustainable change.",3.0,Deutsche Bank
Assistant Vice President,Frankfurt am Main,good work and life balance,processes can take too long including hiring and horizontal mobility within the bank,4.0,Deutsche Bank
