Employee Title,Location,Pros,Cons,Rating,Company Name
Anonymous Employee,Berlin,"Good teams and setups, solid Ways of working","Management crisis, high turnover on management level, from Leads to C-Level",3.0,N26
Senior Software Engineer,Berlin,"Work environment relaxed, even better after the works council was entered (not without some tricky avoidance from top managers)","Management is not really ready to listen opinions different than theirs, and not really concerned about developing careers.

Attrition is high. Salaries are punished with the flag of ""we have to become profitable"", but the top whole compensation schema is blurred. 

There is plenty of evaluation for Individual Contributors, but not the other way around. Despite there is a supposedly anonymous feedback tool, the reports are given by department or team, so if you are serious answering that is not difficult to conclude who is writing.",2.0,N26
Anonymous Employee,Berlin,The teams have some of the nicest and hard working people.,"The managers in this company do not support those wonderful people, to the contrary, they create toxic environments and try to pit coworkers against each other, and also use lies and bullying to keep people in line or drive them away",1.0,N26
User Researcher,Berlin,"Diverse work, lot's of in-house talent",Some uncertainty with organisation direction,4.0,N26
Analytics Engineer,Berlin,Wonderful people to work with and state of the art tech stack.,Project workflow can be lost in the thread when changes happen. It is easy to lose the reason why that kind of project needs to be delivered.,3.0,N26
International Customer Support Specialist,Berlin,Good place to work in general,Not so much chance of growth,3.0,N26
Compliance Specialist,Berlin,the company still is quite interesting,the salary is quite low,3.0,N26
Product Designer,Berlin,Great people. Fun product. Learnt so much,Too many layers in the org after scaling a lot very quickly.,5.0,N26
Backend Engineer,Berlin,"good vibes
good peoples
nice office in the center of berlin
work from home",problems with budget regarding salary updates,4.0,N26
Senior Product Analyst,Berlin,Full Remote work. The product analytics team is a nice and supportive team.,Product leaders need more focus on being more data informed. The data insights culture still needs some maturing.,3.0,N26
Human Resources,Berlin,"-Company is fairly diverse which is really interesting. Lots of professionals from different countries
-Hybrid work environment
-Personal Development Budget (you can use it for courses, bootcamps etc)","-N26 has had several layoffs, doesn't seem to be a company where longevity is possible!!",3.0,N26
Intern,Berlin,flexible working conditions and relatively fair salary,"terrible management, lots of people in my department left already",4.0,N26
Banking Operations Specialist,Berlin,"- competitive salary 
- autonomy and flexibility",- not a great team building (noone ever goes to the office),5.0,N26
